era,session,block_number,stash_address,controller_address,bonded_amount,num_targets,targets
1117,5995,3462514,CwXcE75KukfAzz4UNWUuwxkaf8EBhTYorFpChQfE8y1U4e6,CwXcE75KukfAzz4UNWUuwxkaf8EBhTYorFpChQfE8y1U4e6,458248922437788,16,"DYDFwx7iyN5nGxSTRNBLnCZDPRcq79pZ7uyChzfmsH4Zez2,J1BU4fpEpoSqB1SJ2s5owXvVCTFmpd245zwreypSv4yk1Go,FJV9isj9ZoG71QmJxe28pgdH1WpXssqZUeh5ZderUpze7vz,EDG3UZ9oYUBD7Duw1iieTb4QUpqkUiXtVbHkGh2yXxrfiCY,ETZ1EXDD4JEFPaNGRmDez4NEpvTbkf5YZ69emedEwz7y9s2,FKa21oAKRWn1jazoPcVtxTRtWTea8Ctnq5egmPy9N1ihUth,EsE444ZZA4QVfHRizMkdukGzu7tVnG6KgsxmSJrN1K3cGnu,H92eKPHucGSg1pP16zmEpkdUAyLkt5MywcwEirosXfqMKWA,EwiTAkTmBgv9H2t2EgZBAk8ViTTs2vaYTQnRVx8UWCPtczf,J4fh3p3Gg7oKWvuwzWbGcKaw2TZWzFY8kWoEMdDomR2SvFT,FpwtrzJSZGax9GF5mcfiM6kpRtVNxdrsGWjB3eqj8nteYgB,HGN31MoMgsx1K6vTJF4L5vjBLfKrWpswCCt2YvK8VgGynRu,Gb3UXs8kXSy2eVpcpJg1iqczFjHyXmm1CWoSkfWwmTTFUb3,EkWPyLL3kUw1iVicwkPe7JiWNFezWX5TmH4ybipDCWss3Uu,FSGuZM71oEXHhsGuLUJBqgVGfAqQNgM7qWuui9mwnhsbFp5,Dkz7kFKA33PKvCAkJUhhWkS6ePi7x7FaxQD3oj8BFSpx6fm"
1117,5995,3462514,HmD3ksmDSW6euCcWXofk4RVgBsFLt6ptKZY7gBxhuCUrcZa,HmD3ksmDSW6euCcWXofk4RVgBsFLt6ptKZY7gBxhuCUrcZa,45914826338089,16,"Gt6HqWBhdu4Sy1u8ASTbS1qf2Ac5gwdegwr8tWN8saMxPt5,G7eJUS1A7CdcRb2Y3zEDvfAJrM1QtacgG6mPD1RsPTJXxPQ,EMa2d6yYb3CPxyArDCzsMfngnDKUbRL6QdogfYAPKZmmN1E,FSfBJoCU9sRhCYWwQ55iBNGU5L8eu56iGnYGK9zizHxu8dY,EqyCQvYn1cHBdzFVQHQeL1nHDcxHhjWR8V48KbDyHyuyCGV,CczSz9z41uHpftVviWz91TgjLe3SmbvXfbAc958cjy7F6Qs,FJ68vDYXj1A7QxHKf6j7qcCdShrU2o5A2sZ3y5w4Rst2d3a,FDDy3cQa7JXiChYU2xq1B2WUUJBpZpZ51qn2tiN1DqDMEpS,HqHeKZnc38rX2BJrmJiXfkqHUEUn56B9Nck6WgdiGeKUYBE,EaWWcRin5KwuXYFZA7ANuMCydQHjM5MofStJGusASGeXrrs,Gk6v5CXUy2cPMtVxXtN7ZUn7K5y7UFEm78xp98Uatjt2yuV,D5Xo7N2jginhYchuMNud2dYtby899koFcaRo2YWNmUquo5H,ESNZ8Eg46ByUYoAhr8MPbGpGF82pgmmjE3uVVepPCnJC61r,FagAVsTYT8QghxypUtLcfnmnnhPhPpf854UNuptpQKuNndK,DKinge6g7FNNj3hJZJUze6GByxkLR7ipCqrnuSQKGRMg37G,GXTJJh2kQJoS9amET2WmZ82uFkm7HYCScoP9bEDV5JyKsWE"
1117,5995,3462514,E5ds4VyMysX7weL2khLZjNPTP5ikZTU1iWiG6x2fsCxCXyg,E5ds4VyMysX7weL2khLZjNPTP5ikZTU1iWiG6x2fsCxCXyg,3522031966044,16,"EdEQVcrr4pvzDLdb5xFkncKYhCE6uyuE1eKRTqg4PDvBgMa,FKa21oAKRWn1jazoPcVtxTRtWTea8Ctnq5egmPy9N1ihUth,H4Szoc2sxXxBTF1x88pDj9DCYERFvn4oqzQNsV7y89FnD1g,CzugcakpTckkPjMiwPCGs9hma1gMfYZqpnQvjTS7LPdq3Cx,CzugcatJoSH4dGoU3oddqoyAFtaA8NXFjeDqLZEC7G41CEw,Czugcaq5WFUNtfuxGHDEhywYfgxMVtRP6CsNKz3UjMXRbKc,CzugcatEG61Lc5Gzy2LS9dpTtafZEkfY2wdp9FdBHALv5Nz,Czugcabp78pRQ6ZnW1qvxc4NdEMxatYGntrYsjMrt64fZHg,CzugcahXz2J8Fn6vDJfro3pi51QoKhX49sAEHHfpNGBqCsK,CzugcamkzdEcznjyFWEy8eYgjc2EEtQV1po1r5r9Q4cU7fb,CzugcabcMvdARautgxku7VxBi3fDEuJ7g247FDzBQ81A4Q6,Czugcagr6FN7EoTpniy1GECh1kofpNw6DZQyfyYezJwzUZx,Czugcaso8uTUyA5ptvpZp1jthoWSESrR6aFPCh7DnswH7TQ,Czugcamn1qxcQkUqYLskKJJwNh7NtqzthhcEjwxyPm6pnBM,CzugcakidH54xfVbTQbjfAoikEhufSKxio5k76UaR4wfySm,Czugcai3t8bvCymZMeyha5gXzELohTFhdCNAWSE2Xyequfc"
1117,5995,3462514,DwP4DYXvNbNWS5VCpVzeBdXns8UubPC6Wj6u5uUF2Hw2Mye,GvrgjL9WcPzrw2VMgK52jn7W1V57FWNfL62fCQiifcupGQQ,10871583805016567,16,"CzugcapJWD8CEHBYHDeFpVcxfzFBCg57ic72y4ryJfXUnk7,DTLcUu92NoQw4gg6VmNgXeYQiNywDhfYMQBPYg2Y1W6AkJF,Gt6HqWBhdu4Sy1u8ASTbS1qf2Ac5gwdegwr8tWN8saMxPt5,G7eJUS1A7CdcRb2Y3zEDvfAJrM1QtacgG6mPD1RsPTJXxPQ,Fk3yTFztZdZa4a7yBpisz9ceMyjgYLtZ9CKSCfFNVhoW2ZC,Ewuf7jpvMRWWkUHpc6tPsHa2BUVv4avskPyhFo44er2e4PJ,Ff9DYio1TgYTyDU9z8Howt9pXCnuUPmsCY1ijfLBxSsJahj,H9R6HgnZKtrcfBJP2M6WCvLJvp72Q96eURbCxmj6KCFVWjh,EtgM5E6pecndYpKCLkfYeRfKSmVxT1mVvaxceJFnhuKqTpG,Hnfd2bJ224FQugYsaDvoj4v46HJieMeLe9UQzWtUR7wf5dh,CczSz9z41uHpftVviWz91TgjLe3SmbvXfbAc958cjy7F6Qs,FJ68vDYXj1A7QxHKf6j7qcCdShrU2o5A2sZ3y5w4Rst2d3a,EqyCQvYn1cHBdzFVQHQeL1nHDcxHhjWR8V48KbDyHyuyCGV,EZu6BFiirLjguLgF35Uz6Hm42z5fjKNjQh2zheipNRowHPr,G7mWyu1Pom5XreLHUzDEcvFp6WaMuLuo4QKxtDB9yJZnH69,CmjHFdR59QAZMuyjDF5Sn4mwTgGbKMH2cErUFuf6UT51UwS"
1117,5995,3462514,EPuQp6vS9DshZBNAM4DPGoLFzksYey4XPorpUnfQKBcBnFL,EPuQp6vS9DshZBNAM4DPGoLFzksYey4XPorpUnfQKBcBnFL,36062048725677,1,"GTUi6r2LEsf71zEQDnBvBvKskQcWvK66KRqcRbdmcczaadr"
1117,5995,3462514,GMHFpxFvhGPRWVHDL2U2C7LKpXSqaweUrV6fUhckn2bTY4P,FDaNHbLkXhJa4xmRedGSR6iApPAQF1yZDKVSEDGdcgu25RF,623811038954379,16,"Gx5PVdimURJUZa95SeiC284jNFW8xHgXrELL2X8tD8LYmwB,H4Szoc2sxXxBTF1x88pDj9DCYERFvn4oqzQNsV7y89FnD1g,Czugcaq5WFUNtfuxGHDEhywYfgxMVtRP6CsNKz3UjMXRbKc,CzugcakpTckkPjMiwPCGs9hma1gMfYZqpnQvjTS7LPdq3Cx,CzugcatJoSH4dGoU3oddqoyAFtaA8NXFjeDqLZEC7G41CEw,CzugcatEG61Lc5Gzy2LS9dpTtafZEkfY2wdp9FdBHALv5Nz,CzugcabnEhKE5kvrPjMEHiAK2ySrtNY5uwR5KTZSLCTM7mB,CzugcaaiQQXbxGGR84Y7VupLQ4WWAxhakGH1BxFv4VzjYZu,CzugcauEvozcfrDnSrkBLAM3aFhc3QNaGRSEUm1kpYqnCZr,CzugcabcMvdARautgxku7VxBi3fDEuJ7g247FDzBQ81A4Q6,CzugcakidH54xfVbTQbjfAoikEhufSKxio5k76UaR4wfySm,Czugcaso8uTUyA5ptvpZp1jthoWSESrR6aFPCh7DnswH7TQ,Czugcabp78pRQ6ZnW1qvxc4NdEMxatYGntrYsjMrt64fZHg,Czugcamn1qxcQkUqYLskKJJwNh7NtqzthhcEjwxyPm6pnBM,Czugcagr6FN7EoTpniy1GECh1kofpNw6DZQyfyYezJwzUZx,CzugcamkzdEcznjyFWEy8eYgjc2EEtQV1po1r5r9Q4cU7fb"
1117,5995,3462514,Eadrqzig7egp8r1anFfe2F1Npf5LTUkEGFLvEUjX12QTdqc,Eadrqzig7egp8r1anFfe2F1Npf5LTUkEGFLvEUjX12QTdqc,102296062427,16,"GJUkvsCsAHbYyjrGwPKgeaAK7EVzY4fxxu6bA4jy4s8BBKx,ELhnYFneiAP819s1t7Zmn4rs1tBbcrWVnkeGw4JYKdVp6jL,HqGhgHg6YvnhaXSnaAUvyTDiR4FirB6Ssh2XNDedTzwCDv2,Gq4V2SSoTv2eyARrbeZ24YBDkudSuqdm7kDm8yYGk3kxEet,CaRYnYy5JVW248MhNXxLb9NDaX7BWNE32vJfJKtQYY2bnqc,GS2zdq1zdxSPem4r6fhEPNZjFm9d9asm5qfQUkzB2ykbBAx,EDcqtP9vMNrk7PHEbSw1TVgccE3s2mG1xPnbvsQrJ8CWvD2,EDxNWNGPVcDsUBJs4FJSL8JfNWTu9rXzxHY4C469z8Eb44d,DaJVDQx84RaXqayh6Co2BzrQwPXtV6DEg62RBudB3ZgSgEc,GC8hwHbQ4TdbYJJPDS96G7Uj9bivnW5z56UEkqujjwhQPp5,EicrAEbyauqktQpp4CdvsF2CQy3Ju7tGGMohj3h5sAPnKHL,HnWZYpCsgvnfnzmJh5PLYYvWP9MMkyoCvGDPay92NTFbqpX,DrkY92Yq67zJ7T8XWN7SAXbnNDJhzkADutwhhhPyW3tQKTw,D3ii6afqaMSFvw8R2NExE1qGQ8EawDsXTduSVm9y51K3Jnb,FAp5gVpwhwdmnJ1Ycet9z6Uva5tnfyCfA3AaY7WGi7u3DU4,DTLcUu92NoQw4gg6VmNgXeYQiNywDhfYMQBPYg2Y1W6AkJF"
1117,5995,3462514,DVCczc33cruQp8T6pequsY3cEZDkK9zVYXxr2m5JNrTSfAJ,DVCczc33cruQp8T6pequsY3cEZDkK9zVYXxr2m5JNrTSfAJ,7094556689052,16,"EXcc1FkX1er19TroonFRic4AkgXdTn1HeJvmGmGWggJX7U3,FAp5gVpwhwdmnJ1Ycet9z6Uva5tnfyCfA3AaY7WGi7u3DU4,FnWdLnFhRuphztWJJLoNV4zc18dBsjpaAMboPLhLdL7zZp3,G4xhPFzYSP6FQYB8bvpwnUwjJj7AefN9DgAKne9wYsQaNTm,D8rBgbN7NWa4k9Wa5aeupP2rjo6iYoHPTxxJU5ef35PUQJN,DTLcUu92NoQw4gg6VmNgXeYQiNywDhfYMQBPYg2Y1W6AkJF,CzugcapJWD8CEHBYHDeFpVcxfzFBCg57ic72y4ryJfXUnk7,JLKcPk652UTtQfyrk7keyU6vqAEj5JXzDAvQdPxB1DJTnZ3,GcwTLgVdLLiZxrNEii45oThh9wvthcBcLCUi6qg2NwGrEmr,HhNCj8er5ER15u63dB2Kg6iNBskMpvsq4hhUTFjSEfd1LyK,DDvLS6oBAF2wDjhRSysKhCK4bfPZJfYb2wyAEArszR9Eq55,GuMFX3jpW1DJ2s1jYB1X3xHYKYXn3ex7ApWtWacCRiMrLi6,FpwtrzJSZGax9GF5mcfiM6kpRtVNxdrsGWjB3eqj8nteYgB,Gf5YUW8nxXZvVyHvBptyZUe4HLwSaBCAFYZFYazHqn9xfzy,DKUQiUWNPGvGYrgaxWqduJVRqWUYXUeKprX9EJENhxYvVyS,GRzsaGxLApkBfsUSCHKLnxhe4QECX4E2kQ5LuV4qqcijN2B"
1117,5995,3462514,Fm1TzfCkk1j5K6ioJHWmFXA9PoczX8vruxnTAu3baVaPznp,EkqnxUsuySLmbvTWwzia7jQWHCP9kFMtAjP2gafGuBzzkrt,121589388594892,1,"DaWieD32YURfqDC2jiQYbnXNWvPPGxF6XLH55Gk3ccBdjFy"
1117,5995,3462514,EYksma7xzQZiHRMzV3CjaKC6JDS6U4cX3W7Z9pkUDAUqTSK,DxB4afC4XWucQK1T7cKPxG59ctCDJUDMRhUJrS1E8kihPhp,1000000000000000,9,"FDDy3cQa7JXiChYU2xq1B2WUUJBpZpZ51qn2tiN1DqDMEpS,FJ68vDYXj1A7QxHKf6j7qcCdShrU2o5A2sZ3y5w4Rst2d3a,GhoRyTGK583sJec8aSiyyJCsP2PQXJ2RK7iPGUjLtuX8XCn,DTLcUu92NoQw4gg6VmNgXeYQiNywDhfYMQBPYg2Y1W6AkJF,FagAVsTYT8QghxypUtLcfnmnnhPhPpf854UNuptpQKuNndK,D5Xo7N2jginhYchuMNud2dYtby899koFcaRo2YWNmUquo5H,H4oBKpy6PW6zns93rJvQTBWb3sKSpFw5Cf56zkaNGyjgbyc,Eksma7JmWh8DenpNKi2uCavwaKJ9QrJJbtcnmwJr3hbHSmC,EonK7NScfhd7ZRfgnLhm4cKRFJWK1z59zPximUZRg8VjHQj"
