era,session,block_number,name,stash_address,controller_address,commission_percent,self_stake,total_stake,num_stakers,voters
1117,5995,3462514,,F7BeW4g5ViG8xGJQAzguGPxiX9QNdoPNc3YqF1bV8d9XkVV,CfffkkKuaq2PRxPcQbsqJp58rpcKbjjDeCb5MdMC1dRu8aw,25.00,12071884177479,29962028272641917,1,25
1117,5995,3462514,KeepNode,FDDy3cQa7JXiChYU2xq1B2WUUJBpZpZ51qn2tiN1DqDMEpS,EksMau3Hayzerro67jPHi6CuE2vYbi7KkAGzBwVA8UgRuZH,2.00,50000000000000,12653458776985550,24,281
1117,5995,3462514,,EXkCSUQ6Z1hKvGWMNkUDKrTMVHRduQHWc8G6vgo4NccUmhU,H4Af6szpiQ681EuN8fEV5oFLoZVf4YfPG8JESWRB8sexszx,100.00,100500000000000,25418739171926443,2,28
1117,5995,3462514,,EZ7uBY7ZLohavWAugjTSUVVSABLfad77S6RQf4pDe3cV9q4,DG3eXF793HaeQQccxDLiGT8REWRMNZ7T4GPnwwr2XWRDusr,100.00,987602300672,25002697985788135,1,15
1117,5995,3462514,,Cvzb8Kjs7SJBbx8oXDJzm9Um5jjqxo22QSyXLijmiGhEAKH,GzXa7DGR6d3dokH6gML1VAvSjYEMDaSWEX6VmuqUparciJZ,100.00,978539445206,39986206280347014,1,3
1117,5995,3462514,,Eodfj4xjkw8ZFLLSS5RfP6vCMw8aM6qfM7BfeQMf6ivFWHy,FgzDD5RjjC3zvSSNKitPMrD9roiZoNrowPTjpwwb4W9ofYW,100.00,881540662378,21564126986248483,1,4
1117,5995,3462514,web3italy   ;-)),Gt6HqWBhdu4Sy1u8ASTbS1qf2Ac5gwdegwr8tWN8saMxPt5,Gt6HqWBhdu4Sy1u8ASTbS1qf2Ac5gwdegwr8tWN8saMxPt5,1.00,6326296849238757,24785019966450522,15,285
1117,5995,3462514,PURESTAKE-01 / 02,FnWdLnFhRuphztWJJLoNV4zc18dBsjpaAMboPLhLdL7zZp3,DJUwtMu9d1UPU47AnT5FYLVfpvhNwZXgbx8YVBFecsJ7JPF,0.00,25571205858772,12657421196918817,19,446
1117,5995,3462514,,ELhnYFneiAP819s1t7Zmn4rs1tBbcrWVnkeGw4JYKdVp6jL,GNoqHnweZ2i5BERsoTue1DeixeqYtuBZL4xdzzMqUBM5q7D,10.00,450000000000,11911940043213944,1,39
1117,5995,3462514,SNZPool,FJ68vDYXj1A7QxHKf6j7qcCdShrU2o5A2sZ3y5w4Rst2d3a,H1RDfa5n8xaWxMf3EYkXvJGdXDvDE7KgyujP4HnPdo7a88a,5.00,62146398569142,21682791322111974,3,137
