era,session,block_number,stash_address,controller_address,bonded_amount,num_targets,targets
63,419,1002481,16Ak2D2ZApaR6sFKkawmC8ea93ASD4aB54eTMvEkDjCFZLjp,16Ak2D2ZApaR6sFKkawmC8ea93ASD4aB54eTMvEkDjCFZLjp,38096930382425,3,"1hJdgnAPSjfuHZFHzcorPnFvekSHihK9jdNPWHXgeuL7zaJ,15BQUqtqhmqJPyvvEH5GYyWffXWKuAgoSUHuG1UeNdb8oDNT,1REAJ1k691g5Eqqg9gL7vvZCBG7FCCZ8zgQkZWd4va5ESih"
63,419,1002481,13sA4BPnBUj78GS2i9c1BpoLbuedoE3bZm7CL9FDSsTS2zXV,13sA4BPnBUj78GS2i9c1BpoLbuedoE3bZm7CL9FDSsTS2zXV,36300594757332,16,"1zugcakrhr3ZR7q7B8WKuaZY5BjZAU43m79xEyhNQwLTFjb,1zugcajKZ8XwjWvC5QZWcrpjfnjZZ9FfxRB9f5Hy6GdXBpZ,1zugcajGg5yDD9TEqKKzGx7iKuGWZMkRbYcyaFnaUaEkwMK,1zugcaaABVRXtyepKmwNR4g5iH2NtTNVBz1McZ81p91uAm8,1zugcapKRuHy2C1PceJxTvXWiq6FHEDm2xa5XSU7KYP3rJE,1zugcaebzKgKLebGSQvtxpmPGCZLFoEVu6AfqwD7W5ZKQZt,1zugcag7cJVBtVRnFxv5Qftn7xKAnR6YJ9x4x3XLgGgmNnS,1zugcacan4nrJ3HPBmiBgEn2XvRMbehqvmzSQXT3uLBDkh3,14cxMDpBNLsNEXWyCzked3zghzaYWXwoqGT4h12GqQXdVhmn,1zugcabTuN7rs1bFYb33gRemtg67i4Mvp1twW85nQKiwhwQ,1zugcawsx74AgoC4wz2dMEVFVDNo7rVuTRjZMnfNp9T49po,1zugcaj4mBMu7EULN4rafT5UTfBjbvqaoypZyxWa3io6qJS,1zugca8p9rquswKkHtVKmzR6Z8R9PAmj8MGL1x3HArdAp1J,1zugcabYjgfQdMLC3cAzQ8tJZMo45tMnGpivpAzpxB4CZyK,1zugcaaaDTLhG77kp7PBPpWiaUWTND9oKNcNM94StNStnuw,1zugcaiwmKdWsfuubmCMBgKKMLSef2TEC3Gfvv5GxLGTKMN"
63,419,1002481,15cmefN8o7VM1mGYPaJ4k5m9oPVtiTxao6eWCwWU5MB6QyWy,15cmefN8o7VM1mGYPaJ4k5m9oPVtiTxao6eWCwWU5MB6QyWy,6149124210670361,8,"1ufRSF5gx9Q8hrYoj7KwpzQzDNqLJdbKrFwC6okxa5gtBRd,1zugcaaaDTLhG77kp7PBPpWiaUWTND9oKNcNM94StNStnuw,13ond4N8gejhNeYFxAiCtDymHvgsyQMW3L2kvKMEPtmvi3Cu,16QFrtU6kDdBjxY8qEKz5EEfuDkHxqG8pix3wSGKQzRcuWHo,1dGsgLgFez7gt5WjX2FYzNCJtaCjGG6W9dA42d9cHngDYGg,1zugcaj4mBMu7EULN4rafT5UTfBjbvqaoypZyxWa3io6qJS,1zugcabYjgfQdMLC3cAzQ8tJZMo45tMnGpivpAzpxB4CZyK,12bDHgG8swcakJhz4ADa4uJZThbQKx3rC4cQ6fH7h7EntCVA"
63,419,1002481,14BkCUrEmvDtDZk59QfbGB2HdDnb9tuJajeH9YNNAymTSEka,14BkCUrEmvDtDZk59QfbGB2HdDnb9tuJajeH9YNNAymTSEka,179000000000000,10,"15dPFENfyioL2UGjZbhzsQJ65rrxD6EXFmL4oqGnAuR7prwT,15awXd39ZEttFj5tyM6Lkq5ReefCNcrG8f2agSgn2ZCjoJCW,13YdKTGT2NweAqYz6HSQsqxUhbQuNrDhvyqPW8oTKSUGJfTQ,15omkAxJfYt2Su7cG6Yj4GKMEidMNbV2pvHE7LtS3krVuacF,15Ah4GVGfawNKT8aUDLo13VjdjLEXLWDPq1pyx8bXRkgPZJ4,1588rgxKKhmVUDrfMHJFrW1yYcABdpQMYYComcemNfn6XVnK,13pozTrjJ2KgPVu1spMsbGmqb6wnqf8wkchm64TU5GwZErta,16LqQSto6QrpmKgqXWqc8HvpGvcY5tzo6wqQy97q7qQkKF3E,1124RsfEgJEZvEq4HbtGFcpqoxnqSy79EjNZY9tzPct3AB6o,13QsfwpQGVuyu4uh7JcfbuBACLMZ3cMr7pF4vE1imuBgXcKN"
63,419,1002481,16m9LgEEBoE2cx1s9BL7M4acFFSx44NgQpmtqwpkFP6gfSFE,16m9LgEEBoE2cx1s9BL7M4acFFSx44NgQpmtqwpkFP6gfSFE,7505971947502,3,"14cxMDpBNLsNEXWyCzked3zghzaYWXwoqGT4h12GqQXdVhmn,14j3azi9gKGx2de7ADL3dkzZXFzTTUy1t3RND21PymHRXRp6,1dGsgLgFez7gt5WjX2FYzNCJtaCjGG6W9dA42d9cHngDYGg"
63,419,1002481,15rJFntZQy5R88nRU1D6mDFjqoMHZktxKDfXiCkfJrTs7m6T,15rJFntZQy5R88nRU1D6mDFjqoMHZktxKDfXiCkfJrTs7m6T,4200000000000000,4,"15MUBwP6dyVw5CXF9PjSSv7SdXQuDSwjX86v1kBodCSWVR7c,14bUYpiF2oxVpmXDnFxBipSi4m9zYBThMZoLpY8bRQrPQNG1,14ShUZUYUR35RBZW6uVVt1zXDxmSQddkeDdXf1JkMA6P721N,155Dmh4ySiMA5vWd8vqaEGAkK8RyWBihSMmHrDpj3DjHvX8m"
63,419,1002481,1ut71XEH37T6hKXHktoA51CKGGddwtx7fRhcfUUNffUt1Va,1ut71XEH37T6hKXHktoA51CKGGddwtx7fRhcfUUNffUt1Va,9174670028530,16,"14pXP1DJVJnZDt6CcPkuwfT6NHh9nQ22J8LnsUCvkk2LRH65,1567ec4zAYzqaSyashaepeUNpDwDJemWSYV8PsPVGukLFHuF,1zugcaj4mBMu7EULN4rafT5UTfBjbvqaoypZyxWa3io6qJS,14ShUZUYUR35RBZW6uVVt1zXDxmSQddkeDdXf1JkMA6P721N,14j3azi9gKGx2de7ADL3dkzZXFzTTUy1t3RND21PymHRXRp6,1REAJ1k691g5Eqqg9gL7vvZCBG7FCCZ8zgQkZWd4va5ESih,14xKzzU1ZYDnzFj7FgdtDAYSMJNARjDc2gNw4XAFDgr4uXgp,16SpacegeUTft9v3ts27CEC3tJaxgvE4uZeCctThFH3Vb24p,12713bbq45c66CN9AD7yusSXWE1kY91DcMpjVcB2rXqZKy2w,1342iFZNrBfCP9VWxqt5p39LiHp2ynyq85Ww9K7R8w6BURps,12Z3Bhjn42TPXy5re2CiYz1fqMd21i2XyBLmbekbjLXrqVBV,12CN2fCWC43fPXMLia1PCTsvE491KZ1KKzG2ExvACPY6puV9,13giQQe5CS4AAjkz1roun8NYUmZAQ2KYp32qTnJHLTcw4VxW,15oKi7HoBQbwwdQc47k71q4sJJWnu5opn1pqoGx4NAEYZSHs,121gZtuuG6sq3BZp1UKg8oRLRZvp89SAYSxXypwDJjaSRJR5,16DKyH4fggEXeGwCytqM19e9NFGkgR2neZPDJ5ta8BKpPbPK"
63,419,1002481,14dJkwrF88uvrJVgCiqegW29vyEPE45qBz16wyQH199bPgHm,14dJkwrF88uvrJVgCiqegW29vyEPE45qBz16wyQH199bPgHm,90000000000000,6,"1zugcajKZ8XwjWvC5QZWcrpjfnjZZ9FfxRB9f5Hy6GdXBpZ,1zugcacYFxX3HveFpJVUShjfb3KyaomfVqMTFoxYuUWCdD8,13ovfMxkqtTV5P87aofiyQ3mkzkbm7Uc2BdB36TcoiqtkLk4,14yx4vPAACZRhoDQm1dyvXD3QdRQyCRRCe5tj1zPomhhS29a,13eKBARPFWBdXJAKg4fBTNUfcz4YAYfDTetRRApuz1kTDVDg,1zugcabYjgfQdMLC3cAzQ8tJZMo45tMnGpivpAzpxB4CZyK"
63,419,1002481,15cnAHU4kteG5VGo389Ybge2M22tiRdvYsCUTueonqEdbL4S,15cnAHU4kteG5VGo389Ybge2M22tiRdvYsCUTueonqEdbL4S,107325910445307,16,"14qurJxuGnRA4RrNPjZ3hHhCuoFcda6CkhV9wLAYhbedPQkH,1zugcacan4nrJ3HPBmiBgEn2XvRMbehqvmzSQXT3uLBDkh3,1zugcabYjgfQdMLC3cAzQ8tJZMo45tMnGpivpAzpxB4CZyK,1zugcaaaDTLhG77kp7PBPpWiaUWTND9oKNcNM94StNStnuw,1zugcaj4mBMu7EULN4rafT5UTfBjbvqaoypZyxWa3io6qJS,14tcxHSTAiZf7M4vcLfFdGkGJFjfx6zDqds5QVyz2H24hKgG,14wmQzDrWradDHGYaTmHo57Xuzj8bm7bUrKBYnp5TjcdPSG3,13EAmr66rhEEXD8mq5wiqvJ2aHibBYebF1ys9JRi1qyVjQyk,14647SVT5oQUUbXnFb77d2Npi5se32m2qjJsGcp54YfZkqH7,12bDHgG8swcakJhz4ADa4uJZThbQKx3rC4cQ6fH7h7EntCVA,14bUYpiF2oxVpmXDnFxBipSi4m9zYBThMZoLpY8bRQrPQNG1,15kkg1mK1tCGgqqo3c1CghtKCQsBEAPPjYNNmmRT3r29FeRX,15KDFYfFjdqhp3MDFEtHuyu9kLpXbT7k1zjx78MphViFdCaU,1HZMocNpdw6VYS1aKyrdu1V7kHpbdCvhL8VKayvzVzqTf6H,13ond4N8gejhNeYFxAiCtDymHvgsyQMW3L2kvKMEPtmvi3Cu,1ufRSF5gx9Q8hrYoj7KwpzQzDNqLJdbKrFwC6okxa5gtBRd"
63,419,1002481,12CFeee5mx2Chz77YWGZeEQKbCBsp1ayxfXAeJa77Aamg7hC,12CFeee5mx2Chz77YWGZeEQKbCBsp1ayxfXAeJa77Aamg7hC,965076135353099,2,"15wSu1tQWduKBUmJRzBLsnSCSWxeZ7LPhmvfRC88TjvS3Rv2,1REAJ1k691g5Eqqg9gL7vvZCBG7FCCZ8zgQkZWd4va5ESih"
63,419,1002481,12zbJX5agVsYu6TDJA1WbYZyG7qR3fatL422MZjcSW6NF7xz,12zbJX5agVsYu6TDJA1WbYZyG7qR3fatL422MZjcSW6NF7xz,31371068280887,16,"1293x8Max5nQW6J8ubgKWuEFMViQBAxb7CxfFakpApoRXYUC,14QShJ8R9gtRd9DHTpWL56etZQLT15JeLNEWHQsQMN3hDtHE,12WafjZWsgVZGvFzZ7EXYFukSpLEZV3cieRYmtd6xZYGbpXr,1zugcabTuN7rs1bFYb33gRemtg67i4Mvp1twW85nQKiwhwQ,1zugcajKZ8XwjWvC5QZWcrpjfnjZZ9FfxRB9f5Hy6GdXBpZ,14cxMDpBNLsNEXWyCzked3zghzaYWXwoqGT4h12GqQXdVhmn,1zugcaaABVRXtyepKmwNR4g5iH2NtTNVBz1McZ81p91uAm8,1zugcawsx74AgoC4wz2dMEVFVDNo7rVuTRjZMnfNp9T49po,1zugcapKRuHy2C1PceJxTvXWiq6FHEDm2xa5XSU7KYP3rJE,1zugcajGg5yDD9TEqKKzGx7iKuGWZMkRbYcyaFnaUaEkwMK,1zugcag7cJVBtVRnFxv5Qftn7xKAnR6YJ9x4x3XLgGgmNnS,1zugcaebzKgKLebGSQvtxpmPGCZLFoEVu6AfqwD7W5ZKQZt,1zugcaiwmKdWsfuubmCMBgKKMLSef2TEC3Gfvv5GxLGTKMN,14qurJxuGnRA4RrNPjZ3hHhCuoFcda6CkhV9wLAYhbedPQkH,1zugcakrhr3ZR7q7B8WKuaZY5BjZAU43m79xEyhNQwLTFjb,1zugcacan4nrJ3HPBmiBgEn2XvRMbehqvmzSQXT3uLBDkh3"
